,Full Sample,Low SES,High SES,Gap SES (High-Low)
N,20759.0,9643.0,11116.0,1473.0
holistic_essay_score_mean,3.337010453297365,2.978741055688064,3.6478049658150415,0.6690639101269777
holistic_essay_score_sd,1.1717825011985863,1.0625843264322656,1.1734104854850766,0.11082615905281101
gender_F_mean,0.511874367744111,0.5256662864253863,0.4999100395825837,-0.025756246842802588
gender_F_sd,0.49987101951159485,0.49936670058189025,0.5000224835286413,0.0006557829467510601
race_ethnicity_White_mean,0.45223758369863676,0.24681115835320958,0.6304426052536883,0.3836314469004788
race_ethnicity_White_sd,0.4977255119453068,0.4311782580579399,0.4827066272836799,0.05152836922574
taassc_nwords_mean,412.6208873259791,368.3718759722078,451.00638718963654,82.63451121742872
taassc_nwords_sd,194.21432115781522,172.39522171964506,203.689384630844,31.294162911198924
taassc_wrd_length_mean,4.346061972344443,4.295253295263644,4.390137905511963,0.09488461024831896
taassc_wrd_length_sd,0.32572181707133,0.31163394848622145,0.3312262068380838,0.019592258351862346
taassc_mlc_mean,12.1280912282395,11.911190976940283,12.316249659624741,0.40505868268445866
taassc_mlc_sd,2.9964244818120385,3.1023248002562163,2.888403978688608,-0.21392082156760805
taassc_mltu_mean,28.954230417914115,28.720957042245598,29.15659234320841,0.43563530096281156
taassc_mltu_sd,12.179737709331794,12.422886376299942,11.96168327854425,-0.4612030977556927
taassc_mean_verbal_deps_mean,6.107049772582821,5.9917778631026115,6.207046805968722,0.21526894286611054
taassc_mean_verbal_deps_sd,0.9628164522156141,0.9554773200573271,0.9580102262022383,0.0025329061449111956
taassc_infinitive_prop_mean,0.15135315296958746,0.14810893471083716,0.15416747436839362,0.006058539657556455
taassc_infinitive_prop_sd,0.0660609971101487,0.06875163188401308,0.06350381645203906,-0.005247815431974015
taassc_nonfinite_prop_mean,0.4127370038414114,0.40021630937896735,0.42359855985988454,0.02338225048091719
taassc_nonfinite_prop_sd,0.10154672964177533,0.10283287134696803,0.09914963307589054,-0.0036832382710774852
